Class Name,Class Stereotype,Method Name,Method Stereotype
"WebSocketSessionManager","commander boundary","Add","property non-void-command collaborator",
"WebSocketSessionManager","commander boundary","Remove","predicate non-void-command",
"WebSocketSessionManager","commander boundary","Start","command",
"WebSocketSessionManager","commander boundary","Stop","command collaborator",
"WebSocketSessionManager","commander boundary","Broadcast","command collaborator",
"WebSocketSessionManager","commander boundary","Broadcast","command collaborator",
"WebSocketSessionManager","commander boundary","Broadcast","command collaborator",
"WebSocketSessionManager","commander boundary","BroadcastAsync","command collaborator",
"WebSocketSessionManager","commander boundary","BroadcastAsync","command collaborator",
"WebSocketSessionManager","commander boundary","BroadcastAsync","command collaborator",
"WebSocketSessionManager","commander boundary","CloseSession","command collaborator",
"WebSocketSessionManager","commander boundary","CloseSession","command collaborator",
"WebSocketSessionManager","commander boundary","CloseSession","command collaborator",
"WebSocketSessionManager","commander boundary","PingTo","predicate non-void-command collaborator",
"WebSocketSessionManager","commander boundary","PingTo","predicate non-void-command collaborator",
"WebSocketSessionManager","commander boundary","SendTo","command collaborator",
"WebSocketSessionManager","commander boundary","SendTo","command collaborator",
"WebSocketSessionManager","commander boundary","SendTo","command collaborator",
"WebSocketSessionManager","commander boundary","SendToAsync","command collaborator",
"WebSocketSessionManager","commander boundary","SendToAsync","command collaborator",
"WebSocketSessionManager","commander boundary","SendToAsync","command collaborator",
"WebSocketSessionManager","commander boundary","Sweep","collaborator",
"WebSocketSessionManager","commander boundary","TryGetSession","predicate non-void-command collaborator",
"WebSocketSessionManager","commander boundary","get","get collaborator",
"WebSocketSessionManager","commander boundary","get","property non-void-command collaborator",
"WebSocketSessionManager","commander boundary","get","get",
"WebSocketSessionManager","commander boundary","get","property non-void-command collaborator",
"WebSocketSessionManager","commander boundary","get","property non-void-command collaborator",
"WebSocketSessionManager","commander boundary","get","property non-void-command collaborator",
"WebSocketSessionManager","commander boundary","get","get",
"WebSocketSessionManager","commander boundary","set","set",
"WebSocketSessionManager","commander boundary","get","property non-void-command collaborator",
"WebSocketSessionManager","commander boundary","get","get collaborator",
"WebSocketSessionManager","commander boundary","set","set collaborator",
"HttpListenerPrefix","data-provider","HttpListenerPrefix","constructor",
"HttpListenerPrefix","data-provider","parse","command collaborator",
"HttpListenerPrefix","data-provider","Equals","predicate non-void-command collaborator",
"HttpListenerPrefix","data-provider","GetHashCode","property non-void-command",
"HttpListenerPrefix","data-provider","ToString","get",
"HttpListenerPrefix","data-provider","get","get",
"HttpListenerPrefix","data-provider","get","get",
"HttpListenerPrefix","data-provider","get","get collaborator",
"HttpListenerPrefix","data-provider","get","get",
"HttpListenerPrefix","data-provider","get","get",
"HttpListenerPrefix","data-provider","get","get",
"HttpListenerPrefix","data-provider","get","get",
"HttpListenerContext","boundary","HttpListenerContext","constructor",
"HttpListenerContext","boundary","GetWebSocketContext","get set factory collaborator",
"HttpListenerContext","boundary","SendAuthenticationChallenge","collaborator",
"HttpListenerContext","boundary","SendError","command collaborator",
"HttpListenerContext","boundary","SendError","set",
"HttpListenerContext","boundary","SendError","command",
"HttpListenerContext","boundary","SetUser","predicate set collaborator",
"HttpListenerContext","boundary","Unregister","command",
"HttpListenerContext","boundary","AcceptWebSocket","property non-void-command collaborator",
"HttpListenerContext","boundary","AcceptWebSocket","property set collaborator",
"HttpListenerContext","boundary","get","get collaborator",
"HttpListenerContext","boundary","get","get",
"HttpListenerContext","boundary","set","set",
"HttpListenerContext","boundary","get","get",
"HttpListenerContext","boundary","set","set",
"HttpListenerContext","boundary","get","predicate",
"HttpListenerContext","boundary","get","get collaborator",
"HttpListenerContext","boundary","set","set collaborator",
"HttpListenerContext","boundary","get","get collaborator",
"HttpListenerContext","boundary","get","get collaborator",
"HttpListenerContext","boundary","get","get collaborator",
"ServerSslConfiguration","boundary","ServerSslConfiguration","constructor",
"ServerSslConfiguration","boundary","ServerSslConfiguration","copy-constructor",
"ServerSslConfiguration","boundary","get","get",
"ServerSslConfiguration","boundary","set","set",
"ServerSslConfiguration","boundary","get","get",
"ServerSslConfiguration","boundary","set","set",
"ServerSslConfiguration","boundary","get","get set collaborator",
"ServerSslConfiguration","boundary","set","set collaborator",
"ServerSslConfiguration","boundary","get","get collaborator",
"ServerSslConfiguration","boundary","set","set collaborator",
"ServerSslConfiguration","boundary","get","get collaborator",
"ServerSslConfiguration","boundary","set","set collaborator",
"Chunk","data-class small-class","Chunk","constructor",
"Chunk","data-class small-class","Read","property set collaborator",
"Chunk","data-class small-class","get","get",
"HttpUtility","empty","HttpUtility","constructor",
"ResponseStream","commander boundary","ResponseStream","constructor",
"ResponseStream","commander boundary","ResponseStream","constructor",
"ResponseStream","commander boundary","flush","predicate non-void-command",
"ResponseStream","commander boundary","flushBody","command collaborator",
"ResponseStream","commander boundary","flushHeaders","predicate set collaborator",
"ResponseStream","commander boundary","writeChunked","wrapper",
"ResponseStream","commander boundary","writeChunkedWithoutThrowingException","command",
"ResponseStream","commander boundary","writeWithoutThrowingException","incidental",
"ResponseStream","commander boundary","Close","command",
"ResponseStream","commander boundary","InternalWrite","wrapper stateless",
"ResponseStream","commander boundary","BeginRead","wrapper stateless",
"ResponseStream","commander boundary","BeginWrite","property non-void-command collaborator",
"ResponseStream","commander boundary","Close","command",
"ResponseStream","commander boundary","Dispose","command",
"ResponseStream","commander boundary","EndRead","wrapper stateless",
"ResponseStream","commander boundary","EndWrite","command collaborator",
"ResponseStream","commander boundary","Flush","command collaborator",
"ResponseStream","commander boundary","Read","wrapper stateless",
"ResponseStream","commander boundary","Seek","wrapper stateless",
"ResponseStream","commander boundary","SetLength","wrapper stateless",
"ResponseStream","commander boundary","Write","wrapper",
"ResponseStream","commander boundary","get","wrapper stateless",
"ResponseStream","commander boundary","get","incidental",
"ResponseStream","commander boundary","get","incidental",
"ResponseStream","commander boundary","get","predicate",
"ResponseStream","commander boundary","get","wrapper stateless",
"ResponseStream","commander boundary","get","wrapper stateless",
"ResponseStream","commander boundary","set","wrapper stateless",
"WebSocket","boundary","WebSocket","constructor",
"WebSocket","boundary","WebSocket","copy-constructor",
"WebSocket","boundary","WebSocket","copy-constructor",
"WebSocket","boundary","WebSocket","constructor",
"WebSocket","boundary","abort","command collaborator",
"WebSocket","boundary","abort","command collaborator",
"WebSocket","boundary","accept","predicate non-void-command collaborator",
"WebSocket","boundary","acceptHandshake","predicate non-void-command collaborator",
"WebSocket","boundary","canSet","predicate",
"WebSocket","boundary","checkHandshakeRequest","predicate collaborator",
"WebSocket","boundary","checkHandshakeResponse","predicate non-void-command collaborator",
"WebSocket","boundary","checkProxyConnectResponse","incidental",
"WebSocket","boundary","checkReceivedFrame","predicate",
"WebSocket","boundary","close","command collaborator",
"WebSocket","boundary","close","command collaborator",
"WebSocket","boundary","closeAsync","command collaborator",
"WebSocket","boundary","closeAsync","controller stateless",
"WebSocket","boundary","closeHandshake","predicate non-void-command collaborator",
"WebSocket","boundary","connect","predicate non-void-command collaborator",
"WebSocket","boundary","createAuthenticationResponse","property set factory collaborator",
"WebSocket","boundary","createExtensions","property non-void-command collaborator",
"WebSocket","boundary","createHandshakeFailureResponse","property wrapper",
"WebSocket","boundary","createHandshakeRequest","property non-void-command collaborator",
"WebSocket","boundary","createHandshakeResponse","property controller",
"WebSocket","boundary","customCheckHandshakeRequest","predicate wrapper",
"WebSocket","boundary","dequeueFromMessageEventQueue","property non-void-command collaborator",
"WebSocket","boundary","doHandshake","predicate non-void-command collaborator",
"WebSocket","boundary","enqueueToMessageEventQueue","command collaborator",
"WebSocket","boundary","error","command collaborator",
"WebSocket","boundary","getSslConfiguration","get set factory collaborator",
"WebSocket","boundary","init","command",
"WebSocket","boundary","message","set collaborator",
"WebSocket","boundary","messagec","command collaborator",
"WebSocket","boundary","messages","command collaborator",
"WebSocket","boundary","open","command collaborator",
"WebSocket","boundary","ping","predicate non-void-command collaborator",
"WebSocket","boundary","processCloseFrame","predicate non-void-command collaborator",
"WebSocket","boundary","processDataFrame","predicate non-void-command collaborator",
"WebSocket","boundary","processFragmentFrame","predicate non-void-command collaborator",
"WebSocket","boundary","processPingFrame","predicate non-void-command collaborator",
"WebSocket","boundary","processPongFrame","predicate non-void-command collaborator",
"WebSocket","boundary","processReceivedFrame","predicate non-void-command collaborator",
"WebSocket","boundary","processSecWebSocketExtensionsClientHeader","command collaborator",
"WebSocket","boundary","processUnsupportedFrame","predicate non-void-command collaborator",
"WebSocket","boundary","refuseHandshake","command",
"WebSocket","boundary","releaseClientResources","command",
"WebSocket","boundary","releaseCommonResources","command",
"WebSocket","boundary","releaseResources","command",
"WebSocket","boundary","releaseServerResources","command",
"WebSocket","boundary","send","predicate non-void-command",
"WebSocket","boundary","send","predicate non-void-command collaborator",
"WebSocket","boundary","send","predicate non-void-command",
"WebSocket","boundary","send","predicate non-void-command collaborator",
"WebSocket","boundary","sendAsync","command collaborator",
"WebSocket","boundary","sendBytes","predicate non-void-command",
"WebSocket","boundary","sendHandshakeRequest","property non-void-command collaborator",
"WebSocket","boundary","sendProxyConnectRequest","property non-void-command collaborator",
"WebSocket","boundary","setClientStream","command collaborator",
"WebSocket","boundary","startReceiving","command collaborator",
"WebSocket","boundary","validateSecWebSocketExtensionsServerHeader","predicate non-void-command collaborator",
"WebSocket","boundary","Accept","command collaborator",
"WebSocket","boundary","AcceptAsync","command collaborator",
"WebSocket","boundary","Close","command collaborator",
"WebSocket","boundary","Ping","predicate non-void-command collaborator",
"WebSocket","boundary","Send","command collaborator",
"WebSocket","boundary","Send","command collaborator",
"WebSocket","boundary","Close","command",
"WebSocket","boundary","Close","command",
"WebSocket","boundary","Close","command collaborator",
"WebSocket","boundary","Close","command collaborator",
"WebSocket","boundary","Close","command collaborator",
"WebSocket","boundary","CloseAsync","command",
"WebSocket","boundary","CloseAsync","command",
"WebSocket","boundary","CloseAsync","command collaborator",
"WebSocket","boundary","CloseAsync","command collaborator",
"WebSocket","boundary","CloseAsync","command collaborator",
"WebSocket","boundary","Connect","command collaborator",
"WebSocket","boundary","ConnectAsync","command collaborator",
"WebSocket","boundary","Ping","predicate non-void-command",
"WebSocket","boundary","Ping","predicate non-void-command collaborator",
"WebSocket","boundary","Send","command collaborator",
"WebSocket","boundary","Send","command collaborator",
"WebSocket","boundary","Send","command collaborator",
"WebSocket","boundary","Send","command collaborator",
"WebSocket","boundary","SendAsync","command collaborator",
"WebSocket","boundary","SendAsync","command collaborator",
"WebSocket","boundary","SendAsync","command collaborator",
"WebSocket","boundary","SendAsync","command collaborator",
"WebSocket","boundary","SetCookie","command collaborator",
"WebSocket","boundary","SetCredentials","command collaborator",
"WebSocket","boundary","SetProxy","command collaborator",
"WebSocket","boundary","IDisposable.Dispose","command",
"WebSocket","boundary","get","get collaborator",
"WebSocket","boundary","get","get collaborator",
"WebSocket","boundary","set","set collaborator",
"WebSocket","boundary","get","get",
"WebSocket","boundary","set","set",
"WebSocket","boundary","get","get collaborator",
"WebSocket","boundary","set","set collaborator",
"WebSocket","boundary","get","property collaborator",
"WebSocket","boundary","get","get collaborator",
"WebSocket","boundary","get","get",
"WebSocket","boundary","set","set",
"WebSocket","boundary","get","get",
"WebSocket","boundary","set","set collaborator",
"WebSocket","boundary","get","property",
"WebSocket","boundary","get","predicate non-void-command",
"WebSocket","boundary","get","get",
"WebSocket","boundary","get","get collaborator",
"WebSocket","boundary","set","set collaborator",
"WebSocket","boundary","get","get",
"WebSocket","boundary","set","set collaborator",
"WebSocket","boundary","get","property",
"WebSocket","boundary","set","set",
"WebSocket","boundary","get","get collaborator",
"WebSocket","boundary","get","property non-void-command collaborator",
"WebSocket","boundary","get","property collaborator",
"WebSocket","boundary","get","get collaborator",
"WebSocket","boundary","set","set collaborator",
"HttpVersion","empty","HttpVersion","constructor",
"NetworkCredential","unclassified","NetworkCredential","constructor",
"NetworkCredential","unclassified","NetworkCredential","constructor",
"NetworkCredential","unclassified","NetworkCredential","constructor",
"NetworkCredential","unclassified","get","property",
"NetworkCredential","unclassified","set","set",
"NetworkCredential","unclassified","get","property",
"NetworkCredential","unclassified","set","set",
"NetworkCredential","unclassified","get","property",
"NetworkCredential","unclassified","set","set",
"NetworkCredential","unclassified","get","get",
"NetworkCredential","unclassified","set","set",
"PayloadData","unclassified","PayloadData","constructor",
"PayloadData","unclassified","PayloadData","constructor",
"PayloadData","unclassified","PayloadData","constructor",
"PayloadData","unclassified","PayloadData","constructor",
"PayloadData","unclassified","Mask","set",
"PayloadData","unclassified","GetEnumerator","property collaborator",
"PayloadData","unclassified","ToArray","get",
"PayloadData","unclassified","ToString","property wrapper",
"PayloadData","unclassified","IEnumerable.GetEnumerator","property non-void-command collaborator",
"PayloadData","unclassified","get","property non-void-command",
"PayloadData","unclassified","get","get",
"PayloadData","unclassified","set","set",
"PayloadData","unclassified","get","predicate wrapper",
"PayloadData","unclassified","get","get property non-void-command",
"PayloadData","unclassified","get","property non-void-command",
"PayloadData","unclassified","get","property non-void-command",
"PayloadData","unclassified","get","property",
"ReadBufferState","data-class","ReadBufferState","constructor",
"ReadBufferState","data-class","get","get collaborator",
"ReadBufferState","data-class","set","set collaborator",
"ReadBufferState","data-class","get","get",
"ReadBufferState","data-class","set","set",
"ReadBufferState","data-class","get","get",
"ReadBufferState","data-class","set","set",
"ReadBufferState","data-class","get","get",
"ReadBufferState","data-class","set","set",
"ReadBufferState","data-class","get","get",
"ReadBufferState","data-class","set","set",
"WebHeaderCollection","entity commander boundary","WebHeaderCollection","constructor",
"WebHeaderCollection","entity commander boundary","WebHeaderCollection","constructor",
"WebHeaderCollection","entity commander boundary","WebHeaderCollection","constructor",
"WebHeaderCollection","entity commander boundary","WebHeaderCollection","constructor",
"WebHeaderCollection","entity commander boundary","add","set collaborator",
"WebHeaderCollection","entity commander boundary","checkAllowed","wrapper",
"WebHeaderCollection","entity commander boundary","checkRestricted","wrapper",
"WebHeaderCollection","entity commander boundary","set","set collaborator",
"WebHeaderCollection","entity commander boundary","InternalRemove","command",
"WebHeaderCollection","entity commander boundary","InternalSet","command collaborator",
"WebHeaderCollection","entity commander boundary","InternalSet","command",
"WebHeaderCollection","entity commander boundary","ToStringMultiValue","property non-void-command collaborator",
"WebHeaderCollection","entity commander boundary","AddWithoutValidate","command collaborator",
"WebHeaderCollection","entity commander boundary","Add","command collaborator",
"WebHeaderCollection","entity commander boundary","Add","command collaborator",
"WebHeaderCollection","entity commander boundary","Add","command collaborator",
"WebHeaderCollection","entity commander boundary","Add","command collaborator",
"WebHeaderCollection","entity commander boundary","Clear","set",
"WebHeaderCollection","entity commander boundary","Get","property non-void-command",
"WebHeaderCollection","entity commander boundary","Get","property non-void-command",
"WebHeaderCollection","entity commander boundary","GetEnumerator","property non-void-command collaborator",
"WebHeaderCollection","entity commander boundary","GetKey","property non-void-command",
"WebHeaderCollection","entity commander boundary","GetValues","property non-void-command collaborator",
"WebHeaderCollection","entity commander boundary","GetValues","property non-void-command collaborator",
"WebHeaderCollection","entity commander boundary","GetObjectData","command collaborator",
"WebHeaderCollection","entity commander boundary","OnDeserialization","empty",
"WebHeaderCollection","entity commander boundary","Remove","command collaborator",
"WebHeaderCollection","entity commander boundary","Remove","command collaborator",
"WebHeaderCollection","entity commander boundary","Remove","command collaborator",
"WebHeaderCollection","entity commander boundary","Set","command collaborator",
"WebHeaderCollection","entity commander boundary","Set","command collaborator",
"WebHeaderCollection","entity commander boundary","Set","command collaborator",
"WebHeaderCollection","entity commander boundary","ToByteArray","property non-void-command collaborator",
"WebHeaderCollection","entity commander boundary","ToString","property non-void-command collaborator",
"WebHeaderCollection","entity commander boundary","ISerializable.GetObjectData","command collaborator",
"WebHeaderCollection","entity commander boundary","get","get collaborator",
"WebHeaderCollection","entity commander boundary","get","incidental",
"WebHeaderCollection","entity commander boundary","get","incidental",
"WebHeaderCollection","entity commander boundary","get","property non-void-command collaborator",
"WebHeaderCollection","entity commander boundary","set","non-void-command",
"WebHeaderCollection","entity commander boundary","get","property non-void-command collaborator",
"WebHeaderCollection","entity commander boundary","set","non-void-command",
"WebHeaderCollection","entity commander boundary","get","collaborator incidental",
"HttpListenerWebSocketContext","data-provider","HttpListenerWebSocketContext","constructor",
"HttpListenerWebSocketContext","data-provider","Close","command",
"HttpListenerWebSocketContext","data-provider","Close","set collaborator",
"HttpListenerWebSocketContext","data-provider","ToString","property non-void-command",
"HttpListenerWebSocketContext","data-provider","get","property collaborator",
"HttpListenerWebSocketContext","data-provider","get","property collaborator",
"HttpListenerWebSocketContext","data-provider","get","property collaborator",
"HttpListenerWebSocketContext","data-provider","get","unclassified",
"HttpListenerWebSocketContext","data-provider","get","property",
"HttpListenerWebSocketContext","data-provider","get","predicate",
"HttpListenerWebSocketContext","data-provider","get","predicate",
"HttpListenerWebSocketContext","data-provider","get","predicate",
"HttpListenerWebSocketContext","data-provider","get","predicate",
"HttpListenerWebSocketContext","data-provider","get","property",
"HttpListenerWebSocketContext","data-provider","get","unclassified",
"HttpListenerWebSocketContext","data-provider","get","property collaborator",
"HttpListenerWebSocketContext","data-provider","get","property",
"HttpListenerWebSocketContext","data-provider","get","property controller",
"HttpListenerWebSocketContext","data-provider","get","property",
"HttpListenerWebSocketContext","data-provider","get","property collaborator",
"HttpListenerWebSocketContext","data-provider","get","get collaborator",
"HttpListenerWebSocketContext","data-provider","get","property collaborator",
"HttpListenerWebSocketContext","data-provider","get","get collaborator",
"WebSocketContext","empty","WebSocketContext","constructor",
"HttpRequestEventArgs","data-provider boundary","HttpRequestEventArgs","constructor",
"HttpRequestEventArgs","data-provider boundary","createFilePath","property controller",
"HttpRequestEventArgs","data-provider boundary","ReadFile","property non-void-command",
"HttpRequestEventArgs","data-provider boundary","TryReadFile","predicate non-void-command collaborator",
"HttpRequestEventArgs","data-provider boundary","get","get collaborator",
"HttpRequestEventArgs","data-provider boundary","get","get collaborator",
"HttpRequestEventArgs","data-provider boundary","get","get collaborator",
"WebSocketBehavior","entity boundary","WebSocketBehavior","constructor",
"WebSocketBehavior","entity boundary","checkHandshakeRequest","property wrapper",
"WebSocketBehavior","entity boundary","onClose","command collaborator",
"WebSocketBehavior","entity boundary","onError","command collaborator",
"WebSocketBehavior","entity boundary","onMessage","command collaborator",
"WebSocketBehavior","entity boundary","onOpen","command collaborator",
"WebSocketBehavior","entity boundary","Start","command collaborator",
"WebSocketBehavior","entity boundary","Close","command collaborator",
"WebSocketBehavior","entity boundary","Close","command collaborator",
"WebSocketBehavior","entity boundary","Close","command collaborator",
"WebSocketBehavior","entity boundary","CloseAsync","command collaborator",
"WebSocketBehavior","entity boundary","CloseAsync","command collaborator",
"WebSocketBehavior","entity boundary","CloseAsync","command collaborator",
"WebSocketBehavior","entity boundary","OnClose","empty",
"WebSocketBehavior","entity boundary","OnError","empty",
"WebSocketBehavior","entity boundary","OnMessage","empty",
"WebSocketBehavior","entity boundary","OnOpen","empty",
"WebSocketBehavior","entity boundary","Ping","predicate non-void-command collaborator",
"WebSocketBehavior","entity boundary","Ping","predicate non-void-command collaborator",
"WebSocketBehavior","entity boundary","Send","command collaborator",
"WebSocketBehavior","entity boundary","Send","command collaborator",
"WebSocketBehavior","entity boundary","Send","command collaborator",
"WebSocketBehavior","entity boundary","Send","command collaborator",
"WebSocketBehavior","entity boundary","SendAsync","command collaborator",
"WebSocketBehavior","entity boundary","SendAsync","command collaborator",
"WebSocketBehavior","entity boundary","SendAsync","command collaborator",
"WebSocketBehavior","entity boundary","SendAsync","command collaborator",
"WebSocketBehavior","entity boundary","get","get wrapper",
"WebSocketBehavior","entity boundary","get","get wrapper",
"WebSocketBehavior","entity boundary","get","get wrapper",
"WebSocketBehavior","entity boundary","get","get wrapper",
"WebSocketBehavior","entity boundary","get","get wrapper",
"WebSocketBehavior","entity boundary","get","get wrapper",
"WebSocketBehavior","entity boundary","get","get wrapper",
"WebSocketBehavior","entity boundary","get","get collaborator",
"WebSocketBehavior","entity boundary","set","set collaborator",
"WebSocketBehavior","entity boundary","get","predicate",
"WebSocketBehavior","entity boundary","set","non-void-command",
"WebSocketBehavior","entity boundary","get","get collaborator",
"WebSocketBehavior","entity boundary","set","set collaborator",
"WebSocketBehavior","entity boundary","get","get",
"WebSocketBehavior","entity boundary","get","get",
"WebSocketBehavior","entity boundary","set","set",
"WebSocketBehavior","entity boundary","get","get collaborator",
"WebSocketBehavior","entity boundary","set","set collaborator",
"WebSocketBehavior","entity boundary","get","property",
"WebSocketBehavior","entity boundary","set","set collaborator",
"WebSocketBehavior","entity boundary","get","get collaborator",
"WebSocketBehavior","entity boundary","get","get collaborator",
"WebSocketFrame","data-provider","WebSocketFrame","constructor",
"WebSocketFrame","data-provider","WebSocketFrame","constructor",
"WebSocketFrame","data-provider","WebSocketFrame","constructor",
"WebSocketFrame","data-provider","WebSocketFrame","constructor",
"WebSocketFrame","data-provider","toDumpString","property non-void-command collaborator",
"WebSocketFrame","data-provider","toString","property non-void-command collaborator",
"WebSocketFrame","data-provider","ToString","property non-void-command",
"WebSocketFrame","data-provider","Unmask","command",
"WebSocketFrame","data-provider","GetEnumerator","property non-void-command collaborator",
"WebSocketFrame","data-provider","ToArray","property non-void-command collaborator",
"WebSocketFrame","data-provider","ToString","property non-void-command collaborator",
"WebSocketFrame","data-provider","IEnumerable.GetEnumerator","property non-void-command collaborator",
"WebSocketFrame","data-provider","get","property non-void-command",
"WebSocketFrame","data-provider","get","property",
"WebSocketFrame","data-provider","get","get",
"WebSocketFrame","data-provider","get","get collaborator",
"WebSocketFrame","data-provider","get","predicate",
"WebSocketFrame","data-provider","get","predicate",
"WebSocketFrame","data-provider","get","predicate",
"WebSocketFrame","data-provider","get","predicate",
"WebSocketFrame","data-provider","get","predicate",
"WebSocketFrame","data-provider","get","predicate",
"WebSocketFrame","data-provider","get","predicate",
"WebSocketFrame","data-provider","get","predicate",
"WebSocketFrame","data-provider","get","predicate",
"WebSocketFrame","data-provider","get","predicate",
"WebSocketFrame","data-provider","get","predicate",
"WebSocketFrame","data-provider","get","predicate",
"WebSocketFrame","data-provider","get","property",
"WebSocketFrame","data-provider","get","get collaborator",
"WebSocketFrame","data-provider","get","get",
"WebSocketFrame","data-provider","get","get collaborator",
"WebSocketFrame","data-provider","get","get collaborator",
"WebSocketFrame","data-provider","get","get",
"WebSocketFrame","data-provider","get","get collaborator",
"WebSocketFrame","data-provider","get","get collaborator",
"WebSocketFrame","data-provider","get","get collaborator",
"WebSocketServer","boundary","WebSocketServer","constructor",
"WebSocketServer","boundary","WebSocketServer","constructor",
"WebSocketServer","boundary","WebSocketServer","constructor",
"WebSocketServer","boundary","WebSocketServer","constructor",
"WebSocketServer","boundary","WebSocketServer","constructor",
"WebSocketServer","boundary","WebSocketServer","constructor",
"WebSocketServer","boundary","WebSocketServer","constructor",
"WebSocketServer","boundary","abort","unclassified",
"WebSocketServer","boundary","authenticateClient","predicate controller",
"WebSocketServer","boundary","canSet","predicate",
"WebSocketServer","boundary","checkHostNameForRequest","predicate wrapper",
"WebSocketServer","boundary","getRealm","property collaborator",
"WebSocketServer","boundary","getSslConfiguration","get set factory collaborator",
"WebSocketServer","boundary","init","command",
"WebSocketServer","boundary","processRequest","command collaborator",
"WebSocketServer","boundary","get","get collaborator",
"WebSocketServer","boundary","get","get collaborator",
"WebSocketServer","boundary","set","set collaborator",
"WebSocketServer","boundary","get","predicate",
"WebSocketServer","boundary","get","get",
"WebSocketServer","boundary","get","get",
"WebSocketServer","boundary","set","set",
"WebSocketServer","boundary","get","get collaborator",
"WebSocketServer","boundary","get","get",
"WebSocketServer","boundary","get","get",
"WebSocketServer","boundary","set","set",
"WebSocketServer","boundary","get","get",
"WebSocketServer","boundary","set","set",
"WebSocketServer","boundary","get","property non-void-command collaborator",
"WebSocketServer","boundary","get","get collaborator",
"WebSocketServer","boundary","set","set collaborator",
"WebSocketServer","boundary","get","get collaborator",
"WebSocketServer","boundary","set","set collaborator",
"WebSocketServer","boundary","get","get collaborator",
"WebSocketServiceHost","boundary","WebSocketServiceHost","constructor",
"WebSocketServiceHost","boundary","Start","command",
"WebSocketServiceHost","boundary","StartSession","wrapper",
"WebSocketServiceHost","boundary","Stop","command",
"WebSocketServiceHost","boundary","get","get collaborator",
"WebSocketServiceHost","boundary","get","get collaborator",
"WebSocketServiceHost","boundary","get","get",
"WebSocketServiceHost","boundary","set","set",
"WebSocketServiceHost","boundary","get","get",
"WebSocketServiceHost","boundary","get","get collaborator",
"WebSocketServiceHost","boundary","get","get collaborator",
"WebSocketServiceHost","boundary","set","set collaborator",
"HttpListenerAsyncResult","data-class","HttpListenerAsyncResult","constructor",
"HttpListenerAsyncResult","data-class","complete","set",
"HttpListenerAsyncResult","data-class","Complete","set collaborator",
"HttpListenerAsyncResult","data-class","Complete","command",
"HttpListenerAsyncResult","data-class","get","get collaborator",
"HttpListenerAsyncResult","data-class","get","get",
"HttpListenerAsyncResult","data-class","set","set",
"HttpListenerAsyncResult","data-class","get","get collaborator",
"HttpListenerAsyncResult","data-class","get","get collaborator",
"HttpListenerAsyncResult","data-class","get","get set factory collaborator",
"HttpListenerAsyncResult","data-class","get","get",
"HttpListenerAsyncResult","data-class","get","get",
"WebSocketServiceManager","entity boundary","WebSocketServiceManager","constructor",
"WebSocketServiceManager","entity boundary","get","get",
"WebSocketServiceManager","entity boundary","get","property non-void-command collaborator",
"WebSocketServiceManager","entity boundary","get","wrapper stateless",
"WebSocketServiceHost<TBehavior>","boundary degenerate small-class","WebSocketServiceHost","constructor",
"WebSocketServiceHost<TBehavior>","boundary degenerate small-class","CreateSession","wrapper stateless",
"WebSocketServiceHost<TBehavior>","boundary degenerate small-class","get","collaborator incidental",
